userName,score,at,content
Ian Budi,4,2026-04-24 00:22:04,"mohon bantuan,barkot saya kadaluarsa diperbarui susah seķali sudah telpon oprator jg masih susah mohon dibantu"
Rasya Ikhwan,5,2026-04-23 23:47:34,"saya coba mengaitkan akun dengan email kok gak bisa"" ya.. tidak ada kode yg diterima di emailnya."
Eli Eli,5,2026-04-23 23:43:40,mempermudah mengisi bbm
Hendra Dwi Hermawan,2,2026-04-23 22:44:01,ssh bgt mau cb daftar subsidi bbm..data sdh sesuai msh saja ditolak..
Nadia Rokhmah,5,2026-04-23 20:47:16,Siiip
herna agnaz,2,2026-04-23 20:36:50,menunggu verifikasi terlalu lama
WAHYUDIN,5,2026-04-23 16:09:39,ok
Abdul Wachid,1,2026-04-23 15:37:59,Aplikasinya gak bisa pembayaran lewat mypertamina . masih banyak SPBU yang gak ada mypertamina
Endang Lapulga,1,2026-04-23 15:27:22,"aplikasi sampah,masa verifikasi email aja gk nongol nongol kode otp nya"
Rendy Syafri,1,2026-04-23 13:48:41,"aplikasi nyusahin,, ditunggu-tunggu kode OTP nya di email ngk masuk-masuk... lama nyusahin jg pemerintah,, mendingan kek dulu ajaaa"
Oppoa17s 17s,1,2026-04-23 13:33:42,buruk
Bakery Roti,1,2026-04-23 13:27:05,sering error. naik harga dadakan
Selfi Boari,1,2026-04-23 13:03:21,lemot
Wayan Budi,5,2026-04-23 12:51:02,permudah dalam memperbarui data
Muhtamar Anjani,1,2026-04-23 12:41:30,"Aplikasi tdk guna, tdk bisa melakukan konfirmasi email untuk kode OTP"
Supriyadi 3106,5,2026-04-23 12:36:09,"lama sekali mendapatkan balasan emailnya nya, padahal data lengkap"
Setiawan Iwan,1,2026-04-23 11:45:34,verifikasi barkot lama cs di telpon sibuk semua habis pulsa belum berbicara sama oprator
Rismawan Purnama,1,2026-04-23 10:06:41,"nunggu verifikasi email aja nggak sampe"""
Tinky Moonzhy,2,2026-04-23 08:44:29,otp email gak masuk masuk
Haryo Widyatmoko,1,2026-04-23 08:39:11,pelayanan kacau. CS cuma sekali jawab habis itu tidak balas
Ateem Ahmad,1,2026-04-23 07:27:53,Setelah update jadi gak bisa bisa dibuka... aplikasi gak berguna..
Lim Guan Chun,1,2026-04-23 06:35:07,gak bisa di sambung ke gmail
Edy Surana,5,2026-04-23 06:28:31,"tolong di permudah lagi, semua ya udah bagus."
Taupik Marta,1,2026-04-23 05:40:19,"verifikasi emailnya ga bisa, kode OTP ga masuk, udah coba ganti email lain juga ga bisa, aplikasi payah"
Budak Rantau Sumedang,1,2026-04-23 05:22:21,"ini mau dapat Gmail vertifikasi knapa gak masuk terus sih,Gmail yg lain pada masuk"
Dezgo & Nyul,1,2026-04-23 04:18:56,saya doakan bisnis kalian untung yang berlimpah ruah آمِيْن يَا رَبَّ العَالَمِيْنَ
Setia aji Pangestu,1,2026-04-23 02:54:53,apk kureng mendukung dan saat saya minta struk kosong mulu SPBU Pertamina uka Jambi tepatnya.
Jemi Fedmil,5,2026-04-23 01:55:51,mantap
Bungner Panjaitan,5,2026-04-23 01:45:08,seru
Wibowo,5,2026-04-23 01:41:29,ini kenapa min kok menunggu verifikasi sudah 7 hari ndk ada kejelasan dari pihak terkait..bahkan tidak ada fitur untuk memperbarui data atau verifikasi jika ada kesalahan saat mendaftar ulang karena data dihapus dari Pihak pertamina
nasrullah haranisya,1,2026-04-23 01:40:36,baru buka udah dibikin ribet negeri mimpi oh negeri mimpi
Dafin fathony,2,2026-04-23 01:36:59,sistem di pertamina nya sering error
De Fleur,1,2026-04-22 23:55:03,redeem poin merchandise tidak dikirim
romi pro,1,2026-04-22 18:56:56,ribet
Akhmad Gazali,1,2026-04-22 18:00:52,knp akun sy tidak bisa di hubungkan dgn gopay sy ?
Taufiq Rahman,1,2026-04-22 16:15:47,kok susah bangat sih cara masuk nya harus nya di permudah dnk
gunawan gunawan,5,2026-04-22 16:13:14,aplikasinya membantu sekali dalam pengisian bbm
Syazani Saja,1,2026-04-22 14:17:21,Tim IT nya ga kompeten.. mau daftar aja susah.. nyusahin rakyat
Rifah Anjas Sanjaya,1,2026-04-22 14:07:32,"gk jelas sistem barcode ini, ya kali verifikasi sampe 2 Minggu, pake barcode mobil laen pun gk bisa, tolong lah buat sistem itu yg solutif, jangan ngasal, 2 Minggu itu lama, masa iya mobil gak gerak selama 2 Minggu, cuma gara2 harus nunggu verifikasi"
MA'RUP JATI SUJATMO,5,2026-04-22 13:55:21,ramah petugas nya 😄👍
Sketsa al Mutaqin,1,2026-04-22 13:26:31,sudah ganti berbagai macam email tetap saja tidak dapat kiriman kode OTP susah sekali min
Gilang tripx,1,2026-04-22 12:57:43,Aplikasi lemot untuk nunggu balasan verifikasi!!! ampas banget.
Imam Syafi'i,1,2026-04-22 12:20:00,berkali kali daftar susah
andika b,5,2026-04-22 11:54:45,"kode otp tidak masuk ke email, untuk verifikasi email"
nurul anwar,3,2026-04-22 11:44:25,Kode OTP selalu Lambat masuk ke email Tolong d perbaiki sistem nya saya tidak bisa login dan verifikasi email jadinya
Maulana Hasan,1,2026-04-22 11:43:16,applikasi sampah..
ASENG DJACKY,1,2026-04-22 11:01:32,gak bisa daftar
Muhammad Ramsah,1,2026-04-22 10:37:22,"ini memang lamaa yaa kode otp nya muncul, harus nunggu 3 jam 5 jam 2 jam, emng seperti itu kahh aplikasi ini, mohon di perbaiki dong, agar kami enak dalam menggunakan"
WASIS WIYONO,2,2026-04-22 10:36:40,kenapa lama sekali prosea verifikasi nya. dlu hitungan menit bisa. ini sdh 4hri tnpa kejelasan
Faaz Daffin,1,2026-04-22 09:48:45,"payah apk nya, daftar aja susah bgt mempersulit rakyat yg mau cari nafkah"
Zaenal Subkhi,3,2026-04-22 09:10:12,Update subsidi BBM menunggu verifikasi lama
FATACH ツ 『 DJAUHARI 』,1,2026-04-22 08:16:12,gagal melulu
Khubul Fatoni,1,2026-04-22 08:15:31,"emang negara cm buat nyusahin masyarakat mau isi bbm aja di persulit, di tambah bikin barkot nya susah bedebaaah...."
Arip Boncos,1,2026-04-22 08:12:59,coba dong di permudah suruh di perbarui giliran di perbarui Poto STNK dan mobil selalu gagal coba dong jangan di persulit kami di sini beli ga ngutang
Fajar Hari,5,2026-04-22 08:04:44,gimana cara menghubungkan my pertamina ke gmail
CB Krebipeti Moto Vlog,1,2026-04-22 07:57:30,ribet banget bro
Arya,5,2026-04-22 07:15:03,terbantu
Raka-_,1,2026-04-22 06:06:17,mau buat akun minta kode otp via email malah gada yang berhasil dari 6 akun emailnyaa
Tegar Exki,5,2026-04-22 05:58:35,aku verifikasi email kok lambat banget sih
Deni Saepul Badri,5,2026-04-22 05:47:44,"hallo admin,,bisa ga kalo untuk verifikasi daftar subsidi di percepat,,"
De Wahyu Ne,1,2026-04-22 05:41:39,kacau parah sistem error parah
Albet Saputra29,1,2026-04-22 05:20:27,"aplikasi gk jelas , disuruh verifikasi otp di email, tapi ditunggu udah sejam otp gk muncul, gk jelas emang"
Anam 5758,1,2026-04-22 04:39:34,"gak aplikasi ,gak pemrintah sama aja payah. pas di jalan mau isi bbm tiba2 barcode minta di perbarui, skarang di perbarui sudah 3 hari nunggu verifikasi terus"
